ID,GENDER,BDATE,EDUC,JOBCAT,SALARY,SALBEGIN,JOBTIME,PREVEXP,MINORITY
53.000,"m",1954-04-21,18.000,3.000,73750.000,26250.000,94.000,56.000,0.000
54.000,"m",1931-06-04,12.000,1.000,25050.000,13500.000,94.000,444.000,0.000
55.000,"m",1960-06-25,12.000,1.000,27000.000,15000.000,94.000,120.000,0.000
56.000,"m",1962-04-16,15.000,1.000,26850.000,13500.000,94.000,5.000,0.000
57.000,"m",1963-04-15,15.000,1.000,33900.000,15750.000,94.000,78.000,0.000
58.000,"f",1964-11-14,15.000,1.000,26400.000,13500.000,94.000,3.000,0.000
59.000,"m",1961-05-07,15.000,1.000,28050.000,14250.000,94.000,36.000,1.000
60.000,"m",1959-02-16,12.000,1.000,30900.000,15000.000,94.000,102.000,1.000
61.000,"m",1964-04-28,8.000,1.000,22500.000,9750.000,94.000,36.000,1.000
62.000,"m",1962-07-18,16.000,3.000,48000.000,21750.000,93.000,22.000,0.000
63.000,"m",1961-08-20,17.000,3.000,55000.000,26250.000,93.000,32.000,0.000
64.000,"m",1963-09-28,16.000,3.000,53125.000,21000.000,93.000,48.000,0.000
65.000,"m",1964-03-28,8.000,1.000,21900.000,14550.000,93.000,41.000,0.000
66.000,"m",1962-02-16,19.000,3.000,78125.000,30000.000,93.000,7.000,0.000
67.000,"m",1964-05-28,16.000,3.000,46000.000,21240.000,93.000,35.000,0.000
68.000,"m",1963-05-05,16.000,3.000,45250.000,21480.000,93.000,36.000,0.000
69.000,"m",1960-06-23,16.000,3.000,56550.000,25000.000,93.000,34.000,0.000
70.000,"m",1962-02-08,15.000,1.000,41100.000,20250.000,93.000,27.000,0.000
71.000,"m",1948-08-26,17.000,3.000,82500.000,34980.000,93.000,207.000,0.000
72.000,"f",1964-01-07,16.000,1.000,54000.000,18000.000,93.000,11.000,0.000
73.000,"f",1968-02-09,12.000,1.000,26400.000,10500.000,93.000,0.000,0.000
74.000,"f",1933-04-28,15.000,1.000,33900.000,19500.000,93.000,192.000,0.000
75.000,"f",1965-08-12,15.000,1.000,24150.000,11550.000,93.000,0.000,0.000
76.000,"f",1967-09-03,15.000,1.000,29250.000,11550.000,93.000,11.000,0.000
77.000,"f",1968-09-09,12.000,1.000,27600.000,11400.000,93.000,6.000,0.000
78.000,"f",1968-08-20,12.000,1.000,22950.000,10500.000,93.000,10.000,0.000
79.000,"f",1962-01-23,16.000,1.000,34800.000,14550.000,93.000,8.000,0.000
80.000,"f",1961-05-25,16.000,1.000,51000.000,18000.000,93.000,22.000,0.000
81.000,"f",1968-03-12,12.000,1.000,24300.000,10950.000,93.000,5.000,0.000
82.000,"f",1947-08-28,12.000,1.000,24750.000,14250.000,93.000,193.000,1.000
83.000,"f",1967-10-12,12.000,1.000,22950.000,11250.000,93.000,0.000,1.000
84.000,"f",1967-03-12,8.000,1.000,25050.000,10950.000,93.000,8.000,1.000
85.000,"m",1962-04-09,15.000,1.000,25950.000,17100.000,92.000,42.000,0.000
86.000,"m",1961-08-25,15.000,1.000,31650.000,15750.000,92.000,64.000,0.000
87.000,"m",1959-10-20,12.000,1.000,24150.000,14100.000,92.000,130.000,0.000
88.000,"m",1962-02-10,19.000,3.000,72500.000,28740.000,92.000,10.000,0.000
89.000,"m",1961-06-24,19.000,3.000,68750.000,27480.000,92.000,8.000,0.000
90.000,"f",1938-02-27,8.000,1.000,16200.000,9750.000,92.000,0.000,0.000
91.000,"f",1967-11-04,12.000,1.000,20100.000,11250.000,92.000,24.000,0.000
92.000,"f",1968-06-25,8.000,1.000,24000.000,10950.000,92.000,6.000,0.000
93.000,"f",1968-03-05,12.000,1.000,25950.000,10950.000,92.000,0.000,0.000
94.000,"f",1950-08-04,12.000,1.000,24600.000,10050.000,92.000,44.000,0.000
95.000,"f",1968-08-08,12.000,1.000,28500.000,10500.000,92.000,6.000,0.000
96.000,"m",1933-10-02,8.000,2.000,30750.000,15000.000,92.000,432.000,1.000
97.000,"m",1953-01-18,17.000,1.000,40200.000,19500.000,92.000,168.000,1.000
98.000,"m",1956-05-17,8.000,2.000,30000.000,15000.000,92.000,144.000,1.000
99.000,"f",1968-07-07,12.000,1.000,22050.000,10950.000,92.000,5.000,1.000
100.000,"m",1963-10-25,18.000,3.000,78250.000,27480.000,91.000,47.000,0.000
101.000,"m",1960-03-14,16.000,3.000,60625.000,22500.000,91.000,44.000,0.000
102.000,"m",1963-03-28,14.000,1.000,39900.000,15750.000,91.000,59.000,0.000
103.000,"m",1959-03-17,19.000,3.000,97000.000,35010.000,91.000,68.000,0.000
104.000,"m",1962-11-05,15.000,1.000,27450.000,15750.000,91.000,48.000,0.000
105.000,"m",1966-03-07,15.000,1.000,31650.000,13500.000,91.000,18.000,0.000
106.000,"m",1962-08-04,19.000,3.000,91250.000,29490.000,91.000,23.000,0.000
107.000,"f",1960-08-16,12.000,1.000,25200.000,14400.000,91.000,83.000,0.000
108.000,"f",1930-07-16,12.000,1.000,21000.000,11550.000,91.000,108.000,0.000
109.000,"m",1963-11-10,12.000,1.000,30450.000,15000.000,91.000,49.000,1.000
110.000,"m",1952-10-29,15.000,1.000,28350.000,18000.000,91.000,151.000,1.000
111.000,"m",1940-11-27,12.000,2.000,30750.000,9000.000,91.000,314.000,1.000
112.000,"m",1948-06-21,12.000,2.000,30750.000,15000.000,91.000,240.000,1.000
113.000,"m",1959-10-06,16.000,3.000,54875.000,27480.000,90.000,68.000,0.000
114.000,"m",1961-08-25,14.000,1.000,37800.000,16500.000,90.000,60.000,0.000
115.000,"m",1961-05-12,15.000,1.000,33450.000,14100.000,90.000,85.000,0.000
116.000,"m",1962-06-09,15.000,1.000,30300.000,16500.000,90.000,16.000,0.000
117.000,"f",1932-01-14,12.000,1.000,31500.000,18750.000,90.000,205.000,0.000
118.000,"f",1964-03-04,12.000,1.000,31650.000,14250.000,90.000,48.000,0.000
119.000,"f",1963-07-23,12.000,1.000,25200.000,14100.000,90.000,55.000,0.000
120.000,"f",1964-11-12,16.000,3.000,37800.000,15750.000,90.000,7.000,0.000
121.000,"f",1936-08-06,15.000,1.000,18750.000,10500.000,90.000,54.000,0.000
122.000,"f",1965-09-26,15.000,1.000,32550.000,13500.000,90.000,22.000,0.000
123.000,"f",1949-04-24,12.000,1.000,33300.000,15000.000,90.000,3.000,0.000
124.000,"f",1963-05-29,16.000,1.000,38550.000,16500.000,90.000,0.000,0.000
125.000,"m",1956-08-06,12.000,1.000,27450.000,15000.000,90.000,173.000,1.000
126.000,"m",1951-01-21,15.000,2.000,24300.000,15000.000,90.000,191.000,1.000
127.000,"m",1950-09-01,12.000,2.000,30750.000,15000.000,90.000,209.000,1.000
128.000,"f",1946-07-25,12.000,1.000,19650.000,9750.000,90.000,229.000,1.000
129.000,"m",1959-07-18,17.000,3.000,68750.000,27510.000,89.000,38.000,0.000
130.000,"m",1958-09-06,20.000,3.000,59375.000,30000.000,89.000,6.000,0.000
131.000,"m",1962-02-08,15.000,1.000,31500.000,15750.000,89.000,22.000,0.000
132.000,"m",1953-05-17,12.000,1.000,27300.000,17250.000,89.000,175.000,0.000
133.000,"m",1959-09-12,15.000,1.000,27000.000,15750.000,89.000,87.000,0.000
134.000,"f",1941-11-10,16.000,3.000,41550.000,24990.000,89.000,285.000,0.000
135.000,"f",1968-05-22,12.000,1.000,26250.000,10950.000,89.000,0.000,0.000
136.000,"m",1939-08-25,12.000,1.000,22200.000,15000.000,88.000,324.000,0.000
137.000,"m",1937-07-12,21.000,3.000,65000.000,37500.000,88.000,264.000,0.000
138.000,"m",1947-01-09,12.000,1.000,30900.000,15000.000,88.000,252.000,0.000
139.000,"f",1931-06-18,8.000,1.000,20100.000,13200.000,88.000,90.000,0.000
140.000,"f",1965-04-05,12.000,1.000,22350.000,13500.000,88.000,26.000,0.000
141.000,"f",1966-06-14,15.000,1.000,35550.000,13350.000,88.000,32.000,0.000
142.000,"f",1966-11-13,12.000,1.000,28500.000,13950.000,88.000,34.000,0.000
143.000,"f",1939-08-24,12.000,1.000,24450.000,13200.000,88.000,107.000,0.000
144.000,"f",1931-08-28,8.000,1.000,16650.000,9750.000,88.000,412.000,0.000
145.000,"m",1964-01-15,12.000,1.000,26700.000,13500.000,88.000,38.000,1.000
146.000,"m",1951-01-02,18.000,1.000,43950.000,23250.000,88.000,182.000,1.000
147.000,"m",1936-09-11,15.000,1.000,23700.000,13500.000,88.000,359.000,1.000
148.000,"f",1959-10-05,15.000,1.000,26550.000,14250.000,88.000,61.000,1.000
149.000,"m",1962-06-28,12.000,1.000,27600.000,15000.000,87.000,75.000,0.000
150.000,"m",1954-03-05,12.000,1.000,25800.000,15000.000,87.000,143.000,0.000
151.000,"m",1954-08-16,16.000,3.000,42300.000,26250.000,87.000,126.000,0.000
152.000,"m",1929-05-03,8.000,2.000,30750.000,15000.000,87.000,451.000,0.000
153.000,"f",1967-05-13,12.000,1.000,26700.000,12900.000,87.000,18.000,0.000
154.000,"f",1940-06-07,12.000,1.000,20850.000,12000.000,87.000,163.000,0.000
155.000,"m",1963-03-06,15.000,1.000,35250.000,15000.000,87.000,54.000,1.000
156.000,"m",1963-01-12,15.000,1.000,26700.000,15000.000,87.000,56.000,1.000
157.000,"f",1967-07-02,12.000,1.000,26550.000,13050.000,87.000,11.000,1.000
158.000,"f",1964-09-20,12.000,1.000,27750.000,12000.000,87.000,11.000,1.000
159.000,"f",1951-01-13,16.000,1.000,25050.000,12750.000,87.000,123.000,1.000
160.000,"m",1951-08-27,16.000,3.000,66000.000,47490.000,86.000,150.000,0.000
161.000,"m",1963-02-11,16.000,1.000,52650.000,19500.000,86.000,20.000,0.000
162.000,"m",1961-05-25,16.000,3.000,45625.000,23250.000,86.000,60.000,0.000
163.000,"m",1965-11-10,15.000,1.000,30900.000,15000.000,86.000,25.000,0.000
164.000,"f",1965-08-13,15.000,1.000,29400.000,16500.000,86.000,24.000,0.000
165.000,"f",1966-04-29,15.000,1.000,33300.000,13500.000,86.000,24.000,0.000
166.000,"f",1942-07-12,12.000,1.000,21900.000,9750.000,86.000,156.000,0.000
167.000,"f",1932-08-26,12.000,1.000,18150.000,9750.000,86.000,72.000,0.000
168.000,"f",1962-04-23,16.000,3.000,46875.000,17250.000,86.000,19.000,0.000
169.000,"m",1965-05-23,12.000,1.000,25500.000,14400.000,86.000,37.000,1.000
170.000,"m",1964-06-13,12.000,1.000,26550.000,15000.000,86.000,38.000,1.000
171.000,"m",1930-01-21,12.000,1.000,26700.000,13500.000,86.000,367.000,1.000
172.000,"f",1953-06-13,15.000,1.000,29850.000,15000.000,86.000,79.000,1.000
173.000,"m",1950-01-15,20.000,3.000,69250.000,42480.000,85.000,134.000,0.000
174.000,"m",1935-01-07,8.000,2.000,31950.000,15000.000,85.000,438.000,0.000
175.000,"m",1938-01-08,8.000,1.000,26250.000,15600.000,85.000,171.000,0.000
176.000,"f",1962-10-05,16.000,1.000,35700.000,17250.000,85.000,19.000,0.000
177.000,"f",1962-08-11,12.000,1.000,28500.000,16500.000,85.000,69.000,0.000
178.000,"f",1938-01-17,12.000,1.000,17100.000,10200.000,85.000,72.000,0.000
179.000,"m",1965-01-19,12.000,1.000,25200.000,13050.000,85.000,29.000,1.000
180.000,"f",1960-01-23,12.000,1.000,24000.000,12750.000,85.000,59.000,1.000
181.000,"f",1939-01-04,12.000,1.000,27450.000,10200.000,85.000,101.000,1.000
182.000,"f",1943-03-08,12.000,1.000,18450.000,10200.000,85.000,228.000,1.000
183.000,"m",1960-03-01,15.000,1.000,39300.000,15750.000,84.000,72.000,0.000
184.000,"m",1964-11-05,15.000,1.000,38850.000,15000.000,84.000,53.000,0.000
185.000,"m",1930-08-28,8.000,2.000,30750.000,15000.000,84.000,380.000,0.000
186.000,"m",1964-07-06,15.000,1.000,37500.000,20400.000,84.000,33.000,0.000
187.000,"m",1963-07-29,16.000,3.000,58750.000,21750.000,84.000,13.000,0.000
188.000,"f",1934-02-04,12.000,1.000,34500.000,18750.000,84.000,208.000,0.000
189.000,"f",1950-03-28,12.000,1.000,36000.000,19980.000,84.000,240.000,0.000
190.000,"f",1932-11-15,8.000,1.000,29100.000,16500.000,84.000,35.000,0.000
191.000,"f",1931-10-23,12.000,1.000,16500.000,10200.000,84.000,288.000,0.000
192.000,"m",1949-10-09,12.000,1.000,19650.000,12750.000,84.000,180.000,1.000
193.000,"f",1966-07-22,12.000,1.000,24750.000,12000.000,84.000,41.000,1.000
194.000,"f",1938-04-10,15.000,1.000,27150.000,15750.000,84.000,231.000,1.000
195.000,"f",1955-11-06,12.000,1.000,26400.000,12750.000,84.000,36.000,1.000
196.000,"f",1946-03-03,16.000,1.000,23100.000,12000.000,84.000,214.000,1.000
197.000,"m",1962-10-01,15.000,3.000,54900.000,25500.000,83.000,49.000,0.000
198.000,"m",1952-03-17,19.000,3.000,70875.000,43500.000,83.000,156.000,0.000
199.000,"m",1958-02-02,16.000,3.000,51250.000,27480.000,83.000,69.000,0.000
200.000,"m",1963-02-13,17.000,3.000,67500.000,34980.000,83.000,9.000,0.000
201.000,"m",1955-05-08,12.000,1.000,29340.000,19500.000,83.000,150.000,0.000
202.000,"m",1963-03-17,15.000,1.000,39600.000,16500.000,83.000,47.000,0.000
203.000,"m",1964-03-17,12.000,1.000,29100.000,15000.000,83.000,50.000,0.000
204.000,"m",1960-10-21,15.000,1.000,33150.000,16500.000,83.000,69.000,0.000
205.000,"m",1944-06-22,16.000,3.000,66750.000,52500.000,83.000,258.000,0.000
206.000,"m",1943-05-22,12.000,2.000,33750.000,15000.000,83.000,284.000,0.000
207.000,"m",1959-02-15,15.000,1.000,27300.000,17250.000,83.000,91.000,0.000
208.000,"f",1968-11-28,12.000,1.000,24000.000,11250.000,83.000,16.000,0.000
209.000,"f",1934-01-14,8.000,1.000,19800.000,10200.000,83.000,75.000,0.000
210.000,"m",1949-05-04,15.000,1.000,30600.000,16500.000,83.000,216.000,1.000
211.000,"m",1950-11-08,15.000,1.000,28950.000,15000.000,83.000,108.000,1.000
212.000,"m",1965-05-14,15.000,1.000,38400.000,16500.000,83.000,64.000,1.000
213.000,"m",1945-10-20,8.000,2.000,30750.000,15000.000,83.000,302.000,1.000
214.000,"f",1968-09-13,12.000,1.000,20400.000,10950.000,83.000,9.000,1.000
215.000,"f",1968-09-15,12.000,1.000,19200.000,11100.000,83.000,7.000,1.000
216.000,"m",1964-05-16,15.000,1.000,30150.000,15750.000,82.000,72.000,0.000
217.000,"m",1949-03-15,16.000,1.000,34620.000,27750.000,82.000,149.000,0.000
218.000,"m",1964-03-21,15.000,1.000,80000.000,15750.000,82.000,34.000,0.000
219.000,"m",1963-02-02,12.000,1.000,25350.000,15000.000,82.000,32.000,0.000
220.000,"m",1963-08-17,12.000,1.000,29850.000,15750.000,82.000,85.000,0.000
221.000,"f",1947-05-22,12.000,1.000,24000.000,13800.000,82.000,97.000,0.000
222.000,"f",1935-09-15,15.000,1.000,27750.000,19500.000,82.000,265.000,0.000
223.000,"f",1942-03-14,8.000,1.000,22350.000,10200.000,82.000,48.000,0.000
224.000,"f",1934-11-20,12.000,1.000,16200.000,10200.000,82.000,0.000,0.000
225.000,"f",1967-10-13,15.000,1.000,21900.000,12750.000,82.000,0.000,0.000
226.000,"f",1964-06-21,16.000,1.000,23250.000,15750.000,82.000,4.000,0.000
227.000,"f",1965-07-17,12.000,1.000,33900.000,12000.000,82.000,11.000,0.000
228.000,"f",1963-09-21,15.000,1.000,25650.000,14250.000,82.000,51.000,0.000
229.000,"f",1940-08-21,12.000,1.000,17250.000,10200.000,82.000,358.000,0.000
230.000,"m",1934-02-04,15.000,1.000,22500.000,15000.000,82.000,371.000,1.000
231.000,"m",1965-01-09,16.000,3.000,40200.000,21000.000,81.000,3.000,0.000
232.000,"m",1963-09-13,19.000,3.000,55500.000,33750.000,81.000,62.000,0.000
233.000,"m",1963-07-21,15.000,1.000,26550.000,15000.000,81.000,52.000,0.000
234.000,"m",1960-11-12,15.000,1.000,50550.000,19500.000,81.000,44.000,0.000
235.000,"m",1962-09-11,19.000,3.000,75000.000,31500.000,81.000,13.000,0.000
236.000,"f",1969-05-02,8.000,1.000,27450.000,12000.000,81.000,9.000,0.000
237.000,"f",1969-06-04,12.000,1.000,22650.000,11250.000,81.000,0.000,0.000
238.000,"f",1969-06-15,12.000,1.000,27300.000,11250.000,81.000,5.000,0.000
239.000,"f",1969-09-14,12.000,1.000,27750.000,11225.000,81.000,5.000,0.000
240.000,"f",1961-06-15,16.000,3.000,54375.000,18750.000,81.000,81.000,0.000
241.000,"f",1936-08-27,8.000,1.000,17400.000,10200.000,81.000,390.000,0.000
242.000,"f",1967-11-03,12.000,1.000,40800.000,18000.000,81.000,4.000,0.000
243.000,"f",1969-02-10,12.000,1.000,23100.000,10950.000,81.000,0.000,0.000
244.000,"f",1969-09-15,8.000,1.000,22500.000,10950.000,81.000,5.000,0.000
245.000,"f",1969-03-16,12.000,1.000,26700.000,11550.000,81.000,18.000,0.000
246.000,"f",1968-01-14,12.000,1.000,24900.000,11250.000,81.000,0.000,0.000
247.000,"f",1968-05-13,12.000,1.000,19650.000,10950.000,81.000,11.000,0.000
248.000,"f",1969-04-09,12.000,1.000,22050.000,10950.000,81.000,9.000,0.000
249.000,"f",1969-05-09,12.000,1.000,25500.000,12000.000,81.000,11.000,0.000
250.000,"f",1966-10-10,15.000,1.000,28200.000,12750.000,81.000,19.000,0.000
251.000,"f",1969-01-19,12.000,1.000,23100.000,11250.000,81.000,13.000,0.000
252.000,"m",1969-09-18,12.000,1.000,25500.000,11400.000,81.000,9.000,1.000
253.000,"f",1942-02-21,8.000,1.000,17100.000,10200.000,81.000,0.000,1.000
254.000,"m",1964-02-08,18.000,3.000,68125.000,32490.000,80.000,29.000,0.000
255.000,"m",1932-08-15,12.000,2.000,30600.000,15750.000,80.000,460.000,0.000
256.000,"m",1948-01-03,19.000,3.000,52125.000,27480.000,80.000,221.000,0.000
257.000,"m",1951-09-24,19.000,3.000,61875.000,36750.000,80.000,199.000,0.000
258.000,"m",1969-03-09,8.000,1.000,21300.000,11550.000,80.000,24.000,0.000
259.000,"f",1969-03-15,12.000,1.000,19650.000,11250.000,80.000,5.000,0.000
260.000,"f",1969-02-20,12.000,1.000,22350.000,11250.000,80.000,5.000,0.000
261.000,"f",1969-03-27,12.000,1.000,23400.000,11250.000,80.000,18.000,0.000
262.000,"f",1968-06-20,12.000,1.000,24300.000,10950.000,80.000,8.000,0.000
263.000,"f",1968-10-13,12.000,1.000,28500.000,11250.000,80.000,4.000,0.000
264.000,"f",1969-01-16,12.000,1.000,19950.000,11250.000,80.000,8.000,0.000
265.000,"f",1969-09-24,12.000,1.000,23400.000,11250.000,80.000,0.000,0.000
266.000,"f",1963-10-07,16.000,1.000,34500.000,17250.000,80.000,3.000,0.000
267.000,"f",1969-08-24,12.000,1.000,18150.000,10950.000,80.000,0.000,0.000
268.000,"m",1936-05-16,12.000,1.000,22350.000,15000.000,80.000,272.000,1.000
269.000,"m",1966-03-17,15.000,1.000,40200.000,17250.000,79.000,38.000,0.000
270.000,"m",1947-10-29,15.000,1.000,28650.000,18000.000,79.000,261.000,0.000
271.000,"m",1963-08-24,15.000,1.000,27750.000,16500.000,79.000,55.000,0.000
272.000,"m",1964-06-17,18.000,1.000,66875.000,31980.000,79.000,30.000,0.000
273.000,"m",1939-11-12,12.000,2.000,30000.000,15750.000,79.000,308.000,0.000
274.000,"m",1964-08-04,16.000,3.000,83750.000,21750.000,79.000,12.000,0.000
275.000,"m",1963-01-14,12.000,1.000,33900.000,16500.000,79.000,94.000,0.000
276.000,"m",1965-05-11,16.000,3.000,56500.000,21000.000,79.000,12.000,0.000
277.000,"f",1965-05-20,16.000,3.000,43000.000,17490.000,79.000,20.000,0.000
278.000,"f",1943-06-12,8.000,1.000,20850.000,12000.000,79.000,70.000,0.000
279.000,"f",1969-04-16,12.000,1.000,24450.000,12000.000,79.000,8.000,0.000
280.000,"f",1969-10-20,12.000,1.000,24750.000,10950.000,79.000,5.000,0.000
281.000,"m",1945-02-18,8.000,2.000,34500.000,15750.000,79.000,246.000,1.000
282.000,"m",1963-09-15,14.000,1.000,27900.000,15000.000,79.000,47.000,1.000
283.000,"m",1963-02-25,19.000,3.000,68125.000,32010.000,78.000,35.000,0.000
284.000,"m",1961-10-10,19.000,3.000,73500.000,33000.000,78.000,45.000,0.000
285.000,"m",1930-05-28,8.000,2.000,30750.000,15750.000,78.000,429.000,0.000
286.000,"m",1958-03-07,15.000,3.000,40050.000,25500.000,78.000,133.000,0.000
287.000,"m",1965-01-18,16.000,1.000,40350.000,19500.000,78.000,20.000,0.000
288.000,"m",1955-01-22,15.000,3.000,38700.000,23730.000,78.000,176.000,0.000
289.000,"m",1964-10-27,17.000,3.000,65000.000,30750.000,78.000,26.000,0.000
290.000,"m",1954-04-05,18.000,3.000,51450.000,36240.000,78.000,149.000,0.000
291.000,"m",1934-09-23,12.000,2.000,35250.000,15750.000,78.000,387.000,0.000
292.000,"m",1963-05-07,14.000,1.000,25950.000,15000.000,78.000,53.000,0.000
293.000,"m",1965-09-19,15.000,1.000,25050.000,14250.000,78.000,24.000,0.000
294.000,"m",1968-10-10,12.000,1.000,26700.000,12750.000,78.000,25.000,0.000
295.000,"m",1932-08-20,8.000,1.000,24000.000,15750.000,78.000,476.000,0.000
296.000,"m",1964-02-12,12.000,1.000,26850.000,15000.000,78.000,48.000,0.000
297.000,"f",1942-04-16,12.000,1.000,23400.000,15300.000,78.000,209.000,0.000
298.000,"f",1966-08-24,12.000,1.000,24600.000,13500.000,78.000,47.000,0.000
299.000,"f",1965-05-11,15.000,1.000,32550.000,18000.000,78.000,6.000,0.000
300.000,"m",1960-05-26,16.000,1.000,26550.000,15000.000,78.000,105.000,1.000
301.000,"m",1968-08-04,12.000,1.000,31500.000,13500.000,78.000,7.000,1.000
302.000,"m",1939-09-28,8.000,1.000,22350.000,15000.000,78.000,320.000,1.000
303.000,"m",1938-02-10,12.000,2.000,35250.000,15750.000,78.000,281.000,1.000
304.000,"f",1945-09-28,15.000,1.000,25800.000,13500.000,78.000,51.000,1.000
305.000,"m",1941-10-25,12.000,2.000,30750.000,15750.000,77.000,317.000,0.000
306.000,"m",1966-04-05,15.000,1.000,30750.000,16500.000,77.000,41.000,0.000
307.000,"m",1945-07-24,16.000,3.000,50000.000,32490.000,77.000,264.000,0.000
308.000,"m",1963-02-01,15.000,1.000,34500.000,18000.000,77.000,63.000,0.000
309.000,"m",1964-07-19,15.000,1.000,26250.000,15750.000,77.000,38.000,0.000
310.000,"m",1964-03-23,16.000,1.000,44875.000,21240.000,77.000,22.000,0.000
311.000,"f",1951-02-15,12.000,1.000,22500.000,12000.000,77.000,63.000,0.000
312.000,"f",1963-03-12,12.000,1.000,25650.000,14250.000,77.000,64.000,0.000
313.000,"f",1969-10-25,12.000,1.000,21300.000,11250.000,77.000,0.000,0.000
314.000,"f",1966-11-24,12.000,1.000,29850.000,13500.000,77.000,38.000,0.000
315.000,"f",1969-09-19,12.000,1.000,34500.000,12150.000,77.000,4.000,0.000
