region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,logtoll,logequi,logcard,logwire,lninc,custcat,churn
1.000,58.000,62.000,1.000,36.000,27.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,1.000,0.000,15.500,0.000,0.000,34.500,0.000,967.100,0.000,0.000,1910.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.741,,,3.541,,3.296,1.000,0.000
2.000,41.000,52.000,0.000,27.000,30.000,2.000,2.000,0.000,1.000,1.000,1.000,0.000,1.000,1.000,10.400,28.000,0.000,19.000,27.500,447.850,1152.000,0.000,800.000,1036.650,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,2.342,3.332,,2.944,3.314,3.401,3.000,0.000
2.000,47.000,40.000,1.000,16.000,127.000,4.000,12.000,0.000,1.000,4.000,0.000,1.000,1.000,0.000,19.700,0.000,28.150,14.750,0.000,909.900,0.000,1319.700,680.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,2.981,,3.338,2.691,,4.844,2.000,0.000
2.000,55.000,39.000,1.000,15.000,137.000,2.000,20.000,0.000,1.000,2.000,1.000,0.000,1.000,0.000,12.700,27.500,0.000,11.500,0.000,676.900,1505.200,0.000,620.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,2.542,3.314,,2.442,,4.920,3.000,1.000
2.000,56.000,50.000,1.000,1.000,80.000,2.000,24.000,0.000,1.000,4.000,1.000,0.000,1.000,1.000,28.800,55.500,0.000,21.250,61.100,1558.100,3119.450,0.000,1065.000,3268.050,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,0.000,3.360,4.016,,3.056,4.113,4.382,4.000,0.000
3.000,35.000,55.000,0.000,24.000,30.000,2.000,2.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,10.250,0.000,0.000,15.750,0.000,395.850,0.000,0.000,550.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.327,,,2.757,,3.401,1.000,0.000
2.000,69.000,51.000,1.000,11.000,438.000,4.000,23.000,0.000,1.000,2.000,0.000,1.000,1.000,0.000,29.000,0.000,47.050,24.750,0.000,1815.400,0.000,3064.150,1655.000,0.000,1.000,0.000,1.000,1.000,1.000,0.000,0.000,1.000,0.000,3.367,,3.851,3.209,,6.082,4.000,0.000
2.000,44.000,39.000,0.000,16.000,79.000,2.000,16.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,15.250,24.500,37.450,27.250,30.050,653.700,1037.450,1610.100,1110.000,1280.000,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,2.725,3.199,3.623,3.305,3.403,4.369,4.000,1.000
3.000,36.000,47.000,1.000,16.000,63.000,1.000,23.000,0.000,0.000,2.000,0.000,0.000,1.000,0.000,9.050,0.000,0.000,6.750,0.000,373.650,0.000,0.000,220.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.203,,,1.910,,4.143,1.000,0.000
3.000,28.000,51.000,1.000,22.000,40.000,3.000,10.000,0.000,1.000,6.000,1.000,0.000,0.000,0.000,8.950,21.250,0.000,0.000,0.000,253.550,586.950,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,2.192,3.056,,,,3.689,3.000,0.000
1.000,72.000,67.000,1.000,44.000,51.000,1.000,34.000,1.000,0.000,2.000,1.000,0.000,1.000,0.000,57.050,51.500,0.000,19.250,0.000,4168.250,3657.900,0.000,1345.000,0.000,1.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,4.044,3.942,,2.958,,3.932,3.000,0.000
1.000,16.000,27.000,0.000,5.000,37.000,3.000,5.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,80.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.792,,,,,3.611,1.000,0.000
3.000,3.000,43.000,0.000,19.000,61.000,4.000,11.000,0.000,1.000,1.000,0.000,1.000,1.000,1.000,3.150,0.000,27.250,16.250,17.950,7.900,0.000,53.250,20.000,38.200,0.000,0.000,0.000,1.000,1.000,0.000,0.000,1.000,1.000,1.147,,3.305,2.788,2.888,4.111,1.000,1.000
1.000,40.000,57.000,1.000,15.000,22.000,2.000,9.000,0.000,0.000,2.000,0.000,0.000,1.000,0.000,8.550,0.000,0.000,19.750,0.000,381.500,0.000,0.000,710.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.146,,,2.983,,3.091,1.000,0.000
3.000,16.000,39.000,0.000,6.000,44.000,4.000,3.000,0.000,1.000,1.000,0.000,1.000,0.000,0.000,6.600,0.000,23.300,0.000,0.000,96.300,0.000,350.150,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,1.887,,3.148,,,3.784,2.000,0.000
1.000,20.000,42.000,0.000,4.000,17.000,3.000,5.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,7.800,0.000,0.000,0.000,0.000,175.850,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.054,,,,,2.833,1.000,0.000
2.000,48.000,43.000,0.000,13.000,110.000,5.000,15.000,0.000,1.000,3.000,0.000,1.000,0.000,1.000,7.250,0.000,33.500,0.000,20.650,359.350,0.000,1572.700,0.000,1010.400,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,1.981,,3.512,,3.028,4.700,2.000,0.000
2.000,64.000,48.000,1.000,13.000,91.000,2.000,24.000,0.000,0.000,2.000,1.000,0.000,1.000,1.000,24.500,24.750,0.000,12.500,29.650,1531.900,1569.250,0.000,780.000,1875.950,1.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,3.199,3.209,,2.526,3.389,4.511,3.000,0.000
1.000,8.000,46.000,0.000,3.000,46.000,2.000,8.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,3.150,0.000,25.050,0.000,0.000,16.650,0.000,172.050,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.147,,3.221,,,3.829,1.000,0.000
1.000,40.000,38.000,1.000,10.000,85.000,3.000,12.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,10.600,0.000,0.000,0.000,0.000,384.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,2.361,,,,,4.443,3.000,1.000
2.000,38.000,71.000,0.000,27.000,10.000,2.000,12.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,11.200,0.000,0.000,0.000,0.000,429.850,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,2.416,,,,,2.303,1.000,0.000
1.000,67.000,68.000,0.000,28.000,244.000,1.000,47.000,0.000,1.000,1.000,1.000,0.000,1.000,0.000,30.250,30.250,0.000,30.750,0.000,2186.200,2036.150,0.000,2105.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,3.409,3.409,,3.426,,5.497,3.000,0.000
1.000,26.000,42.000,0.000,0.000,80.000,4.000,15.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,7.850,44.000,49.600,10.500,43.750,196.650,1123.250,1159.350,250.000,1176.550,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,2.061,3.784,3.904,2.351,3.778,4.382,4.000,0.000
3.000,41.000,34.000,1.000,15.000,83.000,5.000,1.000,0.000,1.000,2.000,1.000,0.000,1.000,0.000,8.900,33.750,0.000,5.750,0.000,379.550,1404.450,0.000,220.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,2.186,3.519,,1.749,,4.419,4.000,0.000
2.000,2.000,31.000,0.000,2.000,21.000,1.000,6.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,1.650,0.000,21.600,0.000,0.000,3.200,0.000,17.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.501,,3.073,,,3.045,1.000,1.000
3.000,20.000,48.000,1.000,29.000,24.000,2.000,3.000,0.000,0.000,2.000,1.000,0.000,1.000,0.000,11.850,22.500,0.000,35.000,0.000,230.700,452.750,0.000,675.000,0.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,0.000,2.472,3.114,,3.555,,3.178,4.000,1.000
2.000,31.000,53.000,0.000,2.000,351.000,3.000,31.000,0.000,1.000,1.000,1.000,0.000,1.000,0.000,5.500,31.500,0.000,19.250,0.000,185.300,1009.900,0.000,585.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,1.000,1.000,0.000,1.705,3.450,,2.958,,5.861,3.000,0.000
